Kyle Korver,Uta,G-F,38.24,2.5,1.3,0,0,0,0.25
Thon Maker,Det,F,22.3,5.5,2.3,1,0,1,0.75
Ish Smith,Det,G,30.94,6,2.8,3.5,0.75,0.25,1
Rodions Kurucs,Bro,F,21.35,6.3,5,0.8,0.5,0,0.5
Sindarius Thornwell,Lac,G,24.58,1.3,1,0,0.25,0,0
Ivica Zubac,Lac,C,22.24,5,5.5,0.3,0.5,0.5,1
Jared Dudley,Bro,F,33.93,3,0.5,2.8,0.75,0.25,1
Rondae Hollis-Jefferson,Bro,F,24.44,13.3,3,1.5,0.25,1.25,0.75
Thabo Sefolosha,Uta,F,35.12,1.3,2,0.5,0,0,0.25
Furkan Korkmaz,Phi,G-F,21.89,4.8,1.5,1.3,0,0.25,0.25
Brad Wanamaker,Bos,G,29.89,2.5,0.3,0.8,0.25,0,0.5
Guerschon Yabusele,Bos,F,23.49,2,0.5,0.3,0,0.25,0.25
Amir Johnson,Phi,C-F,32.12,2,1.3,0.5,0.25,0,0.25
Ed Davis,Bro,C,30.03,5.3,6.3,0.7,0,0.33,0
Doug McDermott,Ind,F,27.44,2,1.7,1.3,0,0.33,0
Aaron Holiday,Ind,G,22.7,1.7,0,0,0,0,0.33
Raul Neto,Uta,G,27.07,0.7,1,0.3,0,0,0
Deonte Burton,Okc,G,25.37,0.7,0.7,0,0,0,0
Abdel Nader,Okc,F,25.72,0.7,0,0,0,0.33,0
Jose Calderon,Det,G,37.71,0,0,1.7,0.33,0,0
Glenn Robinson III,Det,G-F,25.43,4.3,2.3,0.7,0.67,0,0.33
Khyri Thomas,Det,G,23.1,4.7,0.7,0,0.67,0,0
Shabazz Napier,Bro,G,27.92,8,2.3,3.7,0.33,0,0
Theo Pinson,Bro,G-F,23.61,3,1,1,0.67,0,0.33
Melvin Frazier Jr.,Orl,G-F,22.79,1.7,1.3,0,0.33,0,0
Jerian Grant,Orl,G,26.68,1.7,1.3,1,0,0,0.33
Jarell Martin,Orl,F,25.06,3.3,0.7,0.3,0,0.33,0
Jarred Vanderbilt,Den,F,20.2,0,0.3,0,0,0.33,0
Robert Williams III,Bos,C-F,21.66,1.3,2.3,0,0,0,0
Trey Lyles,Den,F,23.61,0,0.3,0.7,0,0,0
Skal Labissiere,Por,F,23.24,0.7,0,0,0,0,0
Damian Jones,Gol,C,23.96,0.8,0.5,0,0,0,0.25
DeMarcus Cousins,Gol,C,28.84,7.6,4.9,2.4,0.63,0.75,2.38
Grayson Allen,Uta,G,23.68,4.5,0.5,0,0,0,0
Ekpe Udoh,Uta,C-F,32.07,0,0,0,0,0,0
Tyrone Wallace,Lac,G,25.01,2,0.5,1.5,0,0,0.5
Zaza Pachulia,Det,C,35.34,2.5,4.5,0,0,0,0.5
Gary Clark,Hou,F,24.58,0,0.5,0,0,0,0
Isaiah Hartenstein,Hou,F-C,21.11,2,0.5,0,0,0,0
Blake Griffin,Det,F,30.25,24.5,6,6,1,0,3
Dzanan Musa,Bro,G-F,20.1,2,0,0,1,0,1.5
Zhaire Smith,Phi,G,20.03,0,0,0,0.5,0,0
Marcus Smart,Bos,G,25.27,3.5,2,2,1.5,0,1.5
Chris Boucher,Tor,F,26.42,2.5,0.5,0,0,0.5,0
TJ Leaf,Ind,F,22.12,2,3,0,0,0,0
Jon Leuer,Det,F,30.09,2,0,0,0,0,0
Kyle O'Quinn,Ind,C,29.22,0,0,0,0,0,1
Edmond Sumner,Ind,G,23.45,0,2,0,0,0,0
